oodham,english,partOfSpeech,pattern,pronunciation,reduplicated,redup_pronunciation,redup_meaning,dialect,dialect_id,examples,sing_audio,pl_audio,image,example_audio,
’ali,baby,noun,7,[ˈʔɑ.ɽi],’a’al,[ˈʔɑ.ʔɑɽ̥],children,Any,,No ṣoak g ’ali?::Is the baby crying? || Do: ’o ’am ha-ñu:kud g ’a’al?::Who’s taking care of the children?,audio/baby.mp3,audio/babies.mp3,,audio/examples/isthebabycrying.mp3||audio/examples/whostakingcareofthechildren.mp3,
hoa,basket,noun,7,[hwɑ],hoaha,[ˈhwɑ.hɑ],baskets,Ak-Chin || Any,akchin,Ñ-vi:vi’ibaḍ ’at na:to ’i:da hoa.::My great-grandma made this basket. || ’Ant o ha’i ha-gagḍa g hoaha.::I’m going to sell some of the baskets.,audio/basket.mp3,audio/baskets.mp3,images/basket.jpg,audio/examples/mygreatgrandmamadethisbasket.mp3||audio/examples/imgoingtosellsomeofthebaskets.mp3,
vo’ikuḍ,bed,noun,7,[ˈvɔ.ʔi.kuɖ̥],vo:pikuḍ/wo:pikuḍ,[ˈvɔː.pi.kuɖ̥],bed,Any,,Napt ’apec g ’e-vo’ikuḍ?::Did you make your bed?||Do: t o ha-ke:gc g vo:pikuḍ?::Who’s going to clean the beds?,audio/bed.mp3,audio/beds.mp3,,audio/examples/didyoumakeyourbed.mp3||audio/examples/whosgoingtocleanthebeds.mp3,
’iks,"blanket, cloth",noun,2,[ʔiks],’i’iks,[ˈʔi.ʔiks],"blankets, cloths",Any,,’I be:kai hegi ’iks mant o ñ-ce’ewi.::Bring me that blanket to cover with.||Ṣa:cu pt o na:to ’idam ’i’ikskaj?::What are you going to make with these pieces of cloth?,audio/blanketcloth.mp3,audio/blankets.mp3,,audio/examples/bringmethatblankettocoverwith.mp3||audio/examples/whatareyougoingtomakewiththesepiecesofcloth.mp3,
kahon,box,noun,1,[ˈkɑ.hɔn̥],kakhon,[ˈkɑk.kɔn],boxes,Any,,’U:pam ce:k ’i:da kahon.::Put this box back.||’Oig ’am ha-ku:kpiok hegam kakhon.::Go ahead and open those boxes.,audio/box.mp3,audio/boxes.mp3,,audio/examples/puthisboxback.mp3||audio/examples/goaheadandopenthoseboxes.mp3,
viappoi,"boy, boys",noun,7,[ˈvjɑp.pɔi],vi:piop,[ˈviː.pjɔp],boys,Any,,Do: ’o wuḍ hegi viappoi?::Who is that boy?||Hegam vi:piop ’at ’an o cicvi g ṣoñgivul.::Those boys are going to play kickball.,audio/boy.mp3,audio/boys.mp3,,audio/examples/whoisthatboy.mp3||audio/examples/thoseboysaregoingtoplaykickball.mp3,
’oag,brain,noun,7,[wɑ̰g̥],’oa’ag,[wɑʔɑg̥],brains,Any,,Ñeo’okĭ ’o wuḍ hegi mo ’an hab cu’ig t-’oag ’eḍ.::Language is what exists in our brains.,audio/brain.mp3,audio/brains.mp3,,audio/examples/languageiswhatexistsinourbrain.mp3,
mi:tol,cat,noun,4,[ˈmiː.t̪ɔɽ̥],mimitol,[ˈmi.mi.tɔɽ̥],cats,Ak-Chin || Any,,Napt gegos g mi:tol?::Did you feed the cat?,audio/catmitol.mp3,audio/catsmitol.mp3,,audio/examples/didyoufeedthecat.mp3,
mi:stol,cat,noun,3,[ˈmiː.t̪ɔɽ̥],mimitol,[ˈmi.mi.tɔɽ̥],cats,Tohono O’odham || Any,tohono,Napt gegos g mi:tol?::Did you feed the cat?,audio/catmistol.mp3,audio/catsmistol.mp3,,audio/examples/didyoufeedthecat.mp3,
daikuḍ,chair,noun,2,[ˈd̪ɑi.kuɖ̥],dadaikuḍ,[ˈd̪ɑ.d̪ɑi.kuɖ̥],chair,Any,,’I be:kai hegi daikuḍ.::Bring that chair.,audio/chair.mp3,audio/chairs.mp3,,audio/examples/bringthatchair.mp3,
gogs,dog,noun,2,[gɔg̥s],gogogs,[ˈgɔ.gɔg̥s],dogs,Any,,Hegi 'o ḍ ñ-gogsga.::That’s my dog.,audio/dog.mp3,audio/dogs.mp3,,audio/examples/thatsmydog.mp3,
’ipuḍ,dress,noun,2,[ˈʔi.puɖ̥],’i’ipuḍ,[ˈʔi.ʔi.puɖ̥],dresses,Any,,Napt ’am daphiu g ñ-’ipuḍ?::Did you iron my dress?||’Att o va ha’i nolavt g vepcij ’i’ipuḍ.::We’re going to buy some new dresses.,audio/dress.mp3,audio/dresses.mp3,,audio/examples/didyouironmydress.mp3||audio/examples/weregoingtobuysomenewdresses.mp3,
wuhi,eye,noun,7,[ˈwṳi],vu:pui/wu:pui,[ˈvuː.pwi],eyes,Any,,Pi g ’ab hu ṣa’i ta:tam g ’e-wuhi!::Don’t touch your eye!||S-momhogid g ñ-vu:pui.::My eyes itch.,audio/eye.mp3,audio/eyes.mp3,,audio/examples/donttouchyoureye.mp3||audio/examples/myeyesitch.mp3,
cehia,girl,noun,7,[ˈcɯ.hjɑ],cecia,[ˈcɯ.cja],girls,Any,,Nap s-ma:c hegi cehia?::Do you know that girl?,audio/girl.mp3,audio/girls.mp3,,audio/examples/doyouknowthatgirl.mp3,
mo’o,head,noun,7,[ˈmɔ.ʔɔ],mo:mĭ,[ˈmɔː.mĭ],heads,Any,,Gaswuañ g ’ali mo’o.::Brush the baby’s hair.,audio/head.mp3,audio/heads.mp3,,audio/examples/brushthebabyshair.mp3,
kanjul,"lamp, electric light",noun,2,[ˈkɑn.ɟuɽ̥],kakanjul,[ˈkɑ.kɑn.ɟuɽ̥],"lamps, lights",Any,,’Ant o nai g ñ-kanjul.::I’ll turn my light on.||Sa’i si s-mams g kakanul.::The lights are real bright.,audio/lightlamp.mp3,audio/lightslamp.mp3,,audio/examples/illturnmylighton.mp3||audio/examples/thelightsarerealbright.mp3,
tonlig,light,noun,,[ˈtɔn.ɽig̥],,,,Any,,Nap ñeid hegi tonlig?::Do you see that light?,audio/light.mp3,,,audio/examples/doyouseethatlight.mp3,
